ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000006728,1287.3649329275331,-1.1786093878574206,0.11141312229105486,-10.57873043696262,3.7399130626970775e-26,5.10149934255762e-24
ENSMUSG00000007029,2190.568410647181,-1.1756132504193544,0.1574519313537309,-7.466489869712848,8.236231097034875e-14,3.2322304537351746e-12
ENSMUSG00000007050,383.4808386437079,-1.4862546065953788,0.14463163972712428,-10.276137430229562,9.027322952267577e-25,1.1090150352354062e-22
ENSMUSG00000007080,656.7921613067883,-2.2431602841808016,0.20296881299672812,-11.05174854728525,2.149861773862554e-28,3.429202905260279e-26
ENSMUSG00000007097,24.333144098310704,2.5987457758553822,0.9679213223602439,2.6848729497129242,0.007255738189934668,0.03488362801621726
ENSMUSG00000007207,6.967147987856293,2.462533811425155,0.834389782179676,2.9512990978775884,0.0031644032810506395,0.017902955519422368
ENSMUSG00000007646,75.51491917391006,-2.1377595081309853,0.3656473518094692,-5.846506196617895,5.020048773637117e-9,1.1181480258307269e-7
ENSMUSG00000007827,242.27454331208068,-1.1391010724656156,0.27195122569777186,-4.188622682405319,2.8065257733882342e-5,3.0924943326933636e-4
ENSMUSG00000008206,28.67144800607944,1.8889553902495637,0.5062481447280146,3.73128358083054,1.9050662883756962e-4,0.0016687469494146543
ENSMUSG00000008690,2266.8189569859087,-1.0116166339555506,0.1133377593911837,-8.925680544503882,4.429672199438226e-19,3.0959182485049004e-17
ENSMUSG00000009292,122.27790540585201,-1.6821185141588715,0.35423234880173976,-4.7486304394529935,2.047987818324211e-6,2.9204867381856214e-5
ENSMUSG00000009394,8.687168459019116,2.4824204503172975,0.7758251568333143,3.1997163645089746,0.0013756289138073588,0.009087696822376671
ENSMUSG00000009575,1862.9908586288232,-2.4067965545594396,0.35288927423392463,-6.820259867019967,9.087597227932015e-12,2.848551276882208e-10
ENSMUSG00000009670,13.25631448994009,-3.955251285991729,1.2045339038743654,-3.28363632876561,0.0010247706717819852,0.007077143546499961
ENSMUSG00000010342,36.618786542233536,1.638710009283889,0.3708470540651477,4.418829787969713,9.923676305920562e-6,1.225220934174799e-4
ENSMUSG00000010651,4785.98150623907,1.405462012726774,0.30619716630175914,4.590055583145674,4.431279916924368e-6,5.946152338999123e-5
ENSMUSG00000010660,197.1718734153132,1.1239851492434043,0.21626915435454358,5.197158848648314,2.023574390053978e-7,3.4834010322782964e-6
ENSMUSG00000010663,326.0745845329904,-1.129189854912665,0.263956760086851,-4.277934971398809,1.8863510598138242e-5,2.174250443593102e-4
ENSMUSG00000010911,221.5497186207543,-1.128100600608034,0.321156646263857,-3.512617950559881,4.437150063296619e-4,0.0034620272624040957
ENSMUSG00000011008,200.1671941084425,1.4994041709400716,0.49786391619838544,3.011674721054898,0.0025981083634915394,0.015316836161400643
ENSMUSG00000011752,4786.002418640607,-1.0010527741314328,0.2791289215280201,-3.5863455805705287,3.3534449158316855e-4,0.0027105756841125828
ENSMUSG00000012443,1385.8450470215128,-2.536185777682167,0.269048312605817,-9.42650690918079,4.23973296010282e-21,3.6779683428891964e-19
ENSMUSG00000013155,128.60866834913782,-1.8044050785675694,0.21134016747510362,-8.537918277083474,1.3666151718069837e-17,8.14165104914769e-16
ENSMUSG00000013236,1135.3384625302642,1.2077902101083016,0.29939386313846755,4.034118126027543,5.480774294853776e-5,5.628464941740023e-4
ENSMUSG00000014164,225.39114362342093,1.106591306798902,0.22564249309165224,4.904179579107127,9.381863039461662e-7,1.4407132690800638e-5
ENSMUSG00000014786,213.54323316394905,-1.599282798634356,0.163368119662081,-9.789442407382754,1.2498321048480843e-22,1.2548441219182873e-20
ENSMUSG00000014837,54.82367262328283,-1.3434637936848546,0.28778835865002245,-4.668235365693274,3.0379775734779572e-6,4.1815002384008706e-5
ENSMUSG00000014846,2953.8795038988947,1.7207116015819286,0.3181776654266753,5.4080213307067275,6.372483661986481e-8,1.2132907405729932e-6
ENSMUSG00000014852,3.8911007760801075,-4.985374593908593,1.9336902985032947,-2.5781660060907106,0.009932626786129776,0.04474093035820106
ENSMUSG00000015094,22.97485014799535,1.2806918550076547,0.40750424168532556,3.1427693849542893,0.0016735763749501377,0.01064020158152966
ENSMUSG00000015217,120.95887763629041,-1.6581057389735685,0.20715409959767314,-8.004213974977462,1.202321681155609e-15,5.786063389678051e-14
ENSMUSG00000015243,5179.748727758856,1.8855213284796846,0.18031725585574446,10.45668823835762,1.3654504438077187e-25,1.7651793678479e-23
ENSMUSG00000015396,691.985145373904,1.6652499788398116,0.32207494475144377,5.170380391200383,2.3361796219777056e-7,3.973068015145301e-6
ENSMUSG00000015437,8.069421998830254,2.407718302871306,0.6979472733537659,3.4497137459994267,5.611812715897863e-4,0.0042462143729052725
ENSMUSG00000015501,405.2984033216445,1.3801873147026744,0.21407942711545858,6.447080568644757,1.1402518020472711e-10,3.132366721207358e-9
ENSMUSG00000015533,7.191044881507097,2.342824514001468,0.7017504225372794,3.3385437881613944,8.421875538423588e-4,0.005991952383974106
ENSMUSG00000015647,11.425550548750845,2.3933721404113166,0.880393704363905,2.718524824232537,0.006557373501613436,0.032164971849308346
